date,antam_0_5g_idr,antam_1g_idr,antam_2g_idr,antam_3g_idr,antam_5g_idr,antam_10g_idr,antam_25g_idr,antam_50g_idr,antam_100g_idr,antam_250g_idr,antam_500g_idr,antam_1000g_idr,antam_0_5g_buyback_idr,antam_1g_buyback_idr,antam_2g_buyback_idr,antam_3g_buyback_idr,antam_5g_buyback_idr,antam_10g_buyback_idr,antam_25g_buyback_idr,antam_50g_buyback_idr,antam_100g_buyback_idr,antam_250g_buyback_idr,antam_500g_buyback_idr,antam_1000g_buyback_idr,usd_idr,world_gold_idr_gram,world_gold_usd_oz,world_silver_usd_oz
2010-01-04,211507,408000,806983,1206701,2006136,4003990,9991104,19970335,39928920,99782398,199533216,399060434,194586,375360,742424,1110165,1845645,3683671,9191816,18372708,36734606,91799806,183570559,367135599,,,,
2010-01-05,212544,410000,810939,1212616,2015970,4023617,10040080,20068229,40124650,100271527,200511320,401016613,195540,377200,746064,1115607,1854692,3701728,9236874,18462771,36914678,92249805,184470414,368935284,,,,
2010-01-06,212544,410000,810939,1212616,2015970,4023617,10040080,20068229,40124650,100271527,200511320,401016613,195540,377200,746064,1115607,1854692,3701728,9236874,18462771,36914678,92249805,184470414,368935284,,,,
2010-01-07,213581,412000,814895,1218531,2025804,4043244,10089056,20166123,40320380,100760656,201489424,402972792,196495,379040,749703,1121049,1863740,3719784,9281932,18552833,37094750,92699804,185370270,370734969,,,,
2010-01-08,212544,410000,810939,1212616,2015970,4023617,10040080,20068229,40124650,100271527,200511320,401016613,195540,377200,746064,1115607,1854692,3701728,9236874,18462771,36914678,92249805,184470414,368935284,,,,
2010-01-11,214099,413000,816873,1221489,2030721,4053058,10113544,20215070,40418245,101005221,201978476,403950881,196971,379960,751523,1123770,1868263,3728813,9304460,18597864,37184785,92924803,185820198,371634811,,,,
2010-01-12,212544,410000,810939,1212616,2015970,4023617,10040080,20068229,40124650,100271527,200511320,401016613,195540,377200,746064,1115607,1854692,3701728,9236874,18462771,36914678,92249805,184470414,368935284,,,,
2010-01-13,212026,409000,808961,1209658,2011053,4013803,10015592,20019282,40026785,100026962,200022268,400038524,195064,376280,744244,1112885,1850169,3692699,9214345,18417739,36824642,92024805,184020487,368035442,,,,
2010-01-14,212544,410000,810939,1212616,2015970,4023617,10040080,20068229,40124650,100271527,200511320,401016613,195540,377200,746064,1115607,1854692,3701728,9236874,18462771,36914678,92249805,184470414,368935284,,,,
2010-01-15,211507,408000,806983,1206701,2006136,4003990,9991104,19970335,39928920,99782398,199533216,399060434,194586,375360,742424,1110165,1845645,3683671,9191816,18372708,36734606,91799806,183570559,367135599,,,,
2010-01-18,210470,406000,803027,1200786,1996302,3984362,9942128,19872441,39733190,99293268,198555112,397104256,193632,373520,738785,1104723,1836598,3665613,9146758,18282646,36554535,91349807,182670703,365335916,,,,
2010-01-19,212544,410000,810939,1212616,2015970,4023617,10040080,20068229,40124650,100271527,200511320,401016613,195540,377200,746064,1115607,1854692,3701728,9236874,18462771,36914678,92249805,184470414,368935284,,,,
2010-01-20,212544,410000,810939,1212616,2015970,4023617,10040080,20068229,40124650,100271527,200511320,401016613,195540,377200,746064,1115607,1854692,3701728,9236874,18462771,36914678,92249805,184470414,368935284,,,,
2010-01-21,211507,408000,806983,1206701,2006136,4003990,9991104,19970335,39928920,99782398,199533216,399060434,194586,375360,742424,1110165,1845645,3683671,9191816,18372708,36734606,91799806,183570559,367135599,,,,
2010-01-22,209434,404000,799072,1194870,1986468,3964735,9893152,19774548,39537460,98804139,197577008,395148077,192679,371680,735146,1099280,1827551,3647556,9101700,18192584,36374463,90899808,181770847,363536231,,,,
2010-01-25,209434,404000,799072,1194870,1986468,3964735,9893152,19774548,39537460,98804139,197577008,395148077,192679,371680,735146,1099280,1827551,3647556,9101700,18192584,36374463,90899808,181770847,363536231,,,,
2010-01-26,209434,404000,799072,1194870,1986468,3964735,9893152,19774548,39537460,98804139,197577008,395148077,192679,371680,735146,1099280,1827551,3647556,9101700,18192584,36374463,90899808,181770847,363536231,,,,
2010-01-27,209434,404000,799072,1194870,1986468,3964735,9893152,19774548,39537460,98804139,197577008,395148077,192679,371680,735146,1099280,1827551,3647556,9101700,18192584,36374463,90899808,181770847,363536231,,,,
2010-01-28,208915,403000,797094,1191913,1981551,3954921,9868664,19725601,39439595,98559574,197087956,394169988,192202,370760,733326,1096560,1823027,3638527,9079171,18147553,36284427,90674808,181320920,362636389,,,,
2010-01-29,208915,403000,797094,1191913,1981551,3954921,9868664,19725601,39439595,98559574,197087956,394169988,192202,370760,733326,1096560,1823027,3638527,9079171,18147553,36284427,90674808,181320920,362636389,,,,
2010-02-01,208915,403000,797094,1191913,1981551,3954921,9868664,19725601,39439595,98559574,197087956,394169988,192202,370760,733326,1096560,1823027,3638527,9079171,18147553,36284427,90674808,181320920,362636389,,,,
2010-02-02,209952,405000,801050,1197828,1991385,3974549,9917640,19823494,39635325,99048704,198066060,396126166,193156,372600,736966,1102002,1832074,3656585,9124229,18237614,36464499,91124808,182220775,364436073,,,,
2010-02-03,210470,406000,803027,1200786,1996302,3984362,9942128,19872441,39733190,99293268,198555112,397104256,193632,373520,738785,1104723,1836598,3665613,9146758,18282646,36554535,91349807,182670703,365335916,,,,
2010-02-04,209434,404000,799072,1194870,1986468,3964735,9893152,19774548,39537460,98804139,197577008,395148077,192679,371680,735146,1099280,1827551,3647556,9101700,18192584,36374463,90899808,181770847,363536231,,,,
2010-02-05,207878,401000,793138,1185998,1971717,3935294,9819688,19627707,39243865,98070445,196109852,392213809,191248,368920,729687,1091118,1813980,3620470,9034113,18057490,36104356,90224809,180421064,360836704,,,,
2010-02-08,207360,400000,791160,1183040,1966800,3925480,9795200,19578760,39146000,97825880,195620800,391235720,190771,368000,727867,1088397,1809456,3611442,9011584,18012459,36014320,89999810,179971136,359936862,,,,
2010-02-09,207878,401000,793138,1185998,1971717,3935294,9819688,19627707,39243865,98070445,196109852,392213809,191248,368920,729687,1091118,1813980,3620470,9034113,18057490,36104356,90224809,180421064,360836704,,,,
2010-02-10,208397,402000,795116,1188955,1976634,3945107,9844176,19676654,39341730,98315009,196598904,393191899,191725,369840,731507,1093839,1818503,3629498,9056642,18102522,36194392,90449808,180870992,361736547,,,,
2010-02-11,207878,401000,793138,1185998,1971717,3935294,9819688,19627707,39243865,98070445,196109852,392213809,191248,368920,729687,1091118,1813980,3620470,9034113,18057490,36104356,90224809,180421064,360836704,,,,
2010-02-12,208915,403000,797094,1191913,1981551,3954921,9868664,19725601,39439595,98559574,197087956,394169988,192202,370760,733326,1096560,1823027,3638527,9079171,18147553,36284427,90674808,181320920,362636389,,,,
2010-02-15,208397,402000,795116,1188955,1976634,3945107,9844176,19676654,39341730,98315009,196598904,393191899,191725,369840,731507,1093839,1818503,3629498,9056642,18102522,36194392,90449808,180870992,361736547,,,,
2010-02-16,208915,403000,797094,1191913,1981551,3954921,9868664,19725601,39439595,98559574,197087956,394169988,192202,370760,733326,1096560,1823027,3638527,9079171,18147553,36284427,90674808,181320920,362636389,,,,
2010-02-17,210470,406000,803027,1200786,1996302,3984362,9942128,19872441,39733190,99293268,198555112,397104256,193632,373520,738785,1104723,1836598,3665613,9146758,18282646,36554535,91349807,182670703,365335916,,,,
2010-02-18,207878,401000,793138,1185998,1971717,3935294,9819688,19627707,39243865,98070445,196109852,392213809,191248,368920,729687,1091118,1813980,3620470,9034113,18057490,36104356,90224809,180421064,360836704,,,,
2010-02-19,207878,401000,793138,1185998,1971717,3935294,9819688,19627707,39243865,98070445,196109852,392213809,191248,368920,729687,1091118,1813980,3620470,9034113,18057490,36104356,90224809,180421064,360836704,,,,
2010-02-22,211507,408000,806983,1206701,2006136,4003990,9991104,19970335,39928920,99782398,199533216,399060434,194586,375360,742424,1110165,1845645,3683671,9191816,18372708,36734606,91799806,183570559,367135599,,,,
2010-02-23,208397,402000,795116,1188955,1976634,3945107,9844176,19676654,39341730,98315009,196598904,393191899,191725,369840,731507,1093839,1818503,3629498,9056642,18102522,36194392,90449808,180870992,361736547,,,,
2010-02-24,207878,401000,793138,1185998,1971717,3935294,9819688,19627707,39243865,98070445,196109852,392213809,191248,368920,729687,1091118,1813980,3620470,9034113,18057490,36104356,90224809,180421064,360836704,,,,
2010-02-25,207360,400000,791160,1183040,1966800,3925480,9795200,19578760,39146000,97825880,195620800,391235720,190771,368000,727867,1088397,1809456,3611442,9011584,18012459,36014320,89999810,179971136,359936862,,,,
2010-03-01,209434,404000,799072,1194870,1986468,3964735,9893152,19774548,39537460,98804139,197577008,395148077,192679,371680,735146,1099280,1827551,3647556,9101700,18192584,36374463,90899808,181770847,363536231,,,,
2010-03-02,207878,401000,793138,1185998,1971717,3935294,9819688,19627707,39243865,98070445,196109852,392213809,191248,368920,729687,1091118,1813980,3620470,9034113,18057490,36104356,90224809,180421064,360836704,,,,
2010-03-03,209952,405000,801050,1197828,1991385,3974549,9917640,19823494,39635325,99048704,198066060,396126166,193156,372600,736966,1102002,1832074,3656585,9124229,18237614,36464499,91124808,182220775,364436073,,,,
2010-03-04,210470,406000,803027,1200786,1996302,3984362,9942128,19872441,39733190,99293268,198555112,397104256,193632,373520,738785,1104723,1836598,3665613,9146758,18282646,36554535,91349807,182670703,365335916,,,,
2010-03-05,208915,403000,797094,1191913,1981551,3954921,9868664,19725601,39439595,98559574,197087956,394169988,192202,370760,733326,1096560,1823027,3638527,9079171,18147553,36284427,90674808,181320920,362636389,,,,
2010-03-08,209434,404000,799072,1194870,1986468,3964735,9893152,19774548,39537460,98804139,197577008,395148077,192679,371680,735146,1099280,1827551,3647556,9101700,18192584,36374463,90899808,181770847,363536231,,,,
2010-03-09,207360,400000,791160,1183040,1966800,3925480,9795200,19578760,39146000,97825880,195620800,391235720,190771,368000,727867,1088397,1809456,3611442,9011584,18012459,36014320,89999810,179971136,359936862,,,,
2010-03-10,206842,399000,789182,1180082,1961883,3915666,9770712,19529813,39048135,97581315,195131748,390257631,190295,367080,726047,1085675,1804932,3602413,8989055,17967428,35924284,89774810,179521208,359037021,,,,
2010-03-11,206323,398000,787204,1177125,1956966,3905853,9746224,19480866,38950270,97336751,194642696,389279541,189817,366160,724228,1082955,1800409,3593385,8966526,17922397,35834248,89549811,179071280,358137178,,,,
2010-03-12,206323,398000,787204,1177125,1956966,3905853,9746224,19480866,38950270,97336751,194642696,389279541,189817,366160,724228,1082955,1800409,3593385,8966526,17922397,35834248,89549811,179071280,358137178,,,,
2010-03-15,205805,397000,785226,1174167,1952049,3896039,9721736,19431919,38852405,97092186,194153644,388301452,189341,365240,722408,1080234,1795885,3584356,8943997,17877365,35744213,89324811,178621352,357237336,,,,
2010-03-17,207360,400000,791160,1183040,1966800,3925480,9795200,19578760,39146000,97825880,195620800,391235720,190771,368000,727867,1088397,1809456,3611442,9011584,18012459,36014320,89999810,179971136,359936862,,,,
2010-03-18,206323,398000,787204,1177125,1956966,3905853,9746224,19480866,38950270,97336751,194642696,389279541,189817,366160,724228,1082955,1800409,3593385,8966526,17922397,35834248,89549811,179071280,358137178,,,,
2010-03-22,205286,396000,783248,1171210,1947132,3886225,9697248,19382972,38754540,96847621,193664592,387323363,188863,364320,720588,1077513,1791361,3575327,8921468,17832334,35654177,89099811,178171425,356337494,,,,
2010-03-23,204768,395000,781270,1168252,1942215,3876412,9672760,19334026,38656675,96603056,193175540,386345274,188387,363400,718768,1074792,1786838,3566299,8898939,17787304,35564141,88874812,177721497,355437652,,,,
2010-03-24,204768,395000,781270,1168252,1942215,3876412,9672760,19334026,38656675,96603056,193175540,386345274,188387,363400,718768,1074792,1786838,3566299,8898939,17787304,35564141,88874812,177721497,355437652,,,,
2010-03-25,204250,394000,779293,1165294,1937298,3866598,9648272,19285079,38558810,96358492,192686488,385367184,187910,362480,716950,1072070,1782314,3557270,8876410,17742273,35474105,88649813,177271569,354537809,,,,
2010-03-26,204768,395000,781270,1168252,1942215,3876412,9672760,19334026,38656675,96603056,193175540,386345274,188387,363400,718768,1074792,1786838,3566299,8898939,17787304,35564141,88874812,177721497,355437652,,,,
2010-03-29,205286,396000,783248,1171210,1947132,3886225,9697248,19382972,38754540,96847621,193664592,387323363,188863,364320,720588,1077513,1791361,3575327,8921468,17832334,35654177,89099811,178171425,356337494,,,,
2010-03-30,205286,396000,783248,1171210,1947132,3886225,9697248,19382972,38754540,96847621,193664592,387323363,188863,364320,720588,1077513,1791361,3575327,8921468,17832334,35654177,89099811,178171425,356337494,,,,
2010-03-31,204768,395000,781270,1168252,1942215,3876412,9672760,19334026,38656675,96603056,193175540,386345274,188387,363400,718768,1074792,1786838,3566299,8898939,17787304,35564141,88874812,177721497,355437652,,,,
2010-04-01,205805,397000,785226,1174167,1952049,3896039,9721736,19431919,38852405,97092186,194153644,388301452,189341,365240,722408,1080234,1795885,3584356,8943997,17877365,35744213,89324811,178621352,357237336,,,,
2010-04-05,206842,399000,789182,1180082,1961883,3915666,9770712,19529813,39048135,97581315,195131748,390257631,190295,367080,726047,1085675,1804932,3602413,8989055,17967428,35924284,89774810,179521208,359037021,,,,
2010-04-06,206842,399000,789182,1180082,1961883,3915666,9770712,19529813,39048135,97581315,195131748,390257631,190295,367080,726047,1085675,1804932,3602413,8989055,17967428,35924284,89774810,179521208,359037021,,,,
2010-04-07,206842,399000,789182,1180082,1961883,3915666,9770712,19529813,39048135,97581315,195131748,390257631,190295,367080,726047,1085675,1804932,3602413,8989055,17967428,35924284,89774810,179521208,359037021,,,,
2010-04-08,207878,401000,793138,1185998,1971717,3935294,9819688,19627707,39243865,98070445,196109852,392213809,191248,368920,729687,1091118,1813980,3620470,9034113,18057490,36104356,90224809,180421064,360836704,,,,
2010-04-09,208915,403000,797094,1191913,1981551,3954921,9868664,19725601,39439595,98559574,197087956,394169988,192202,370760,733326,1096560,1823027,3638527,9079171,18147553,36284427,90674808,181320920,362636389,,,,
2010-04-12,211507,408000,806983,1206701,2006136,4003990,9991104,19970335,39928920,99782398,199533216,399060434,194586,375360,742424,1110165,1845645,3683671,9191816,18372708,36734606,91799806,183570559,367135599,,,,
2010-04-13,208915,403000,797094,1191913,1981551,3954921,9868664,19725601,39439595,98559574,197087956,394169988,192202,370760,733326,1096560,1823027,3638527,9079171,18147553,36284427,90674808,181320920,362636389,,,,
2010-04-14,207878,401000,793138,1185998,1971717,3935294,9819688,19627707,39243865,98070445,196109852,392213809,191248,368920,729687,1091118,1813980,3620470,9034113,18057490,36104356,90224809,180421064,360836704,,,,
2010-04-15,207878,401000,793138,1185998,1971717,3935294,9819688,19627707,39243865,98070445,196109852,392213809,191248,368920,729687,1091118,1813980,3620470,9034113,18057490,36104356,90224809,180421064,360836704,,,,
2010-04-16,207878,401000,793138,1185998,1971717,3935294,9819688,19627707,39243865,98070445,196109852,392213809,191248,368920,729687,1091118,1813980,3620470,9034113,18057490,36104356,90224809,180421064,360836704,,,,
2010-04-19,205805,397000,785226,1174167,1952049,3896039,9721736,19431919,38852405,97092186,194153644,388301452,189341,365240,722408,1080234,1795885,3584356,8943997,17877365,35744213,89324811,178621352,357237336,,,,
2010-04-20,206323,398000,787204,1177125,1956966,3905853,9746224,19480866,38950270,97336751,194642696,389279541,189817,366160,724228,1082955,1800409,3593385,8966526,17922397,35834248,89549811,179071280,358137178,,,,
2010-04-21,206323,398000,787204,1177125,1956966,3905853,9746224,19480866,38950270,97336751,194642696,389279541,189817,366160,724228,1082955,1800409,3593385,8966526,17922397,35834248,89549811,179071280,358137178,,,,
2010-04-22,206842,399000,789182,1180082,1961883,3915666,9770712,19529813,39048135,97581315,195131748,390257631,190295,367080,726047,1085675,1804932,3602413,8989055,17967428,35924284,89774810,179521208,359037021,,,,
2010-04-23,206842,399000,789182,1180082,1961883,3915666,9770712,19529813,39048135,97581315,195131748,390257631,190295,367080,726047,1085675,1804932,3602413,8989055,17967428,35924284,89774810,179521208,359037021,,,,
2010-04-26,208397,402000,795116,1188955,1976634,3945107,9844176,19676654,39341730,98315009,196598904,393191899,191725,369840,731507,1093839,1818503,3629498,9056642,18102522,36194392,90449808,180870992,361736547,,,,
2010-04-27,207878,401000,793138,1185998,1971717,3935294,9819688,19627707,39243865,98070445,196109852,392213809,191248,368920,729687,1091118,1813980,3620470,9034113,18057490,36104356,90224809,180421064,360836704,,,,
2010-04-28,209434,404000,799072,1194870,1986468,3964735,9893152,19774548,39537460,98804139,197577008,395148077,192679,371680,735146,1099280,1827551,3647556,9101700,18192584,36374463,90899808,181770847,363536231,,,,
2010-04-29,209434,404000,799072,1194870,1986468,3964735,9893152,19774548,39537460,98804139,197577008,395148077,192679,371680,735146,1099280,1827551,3647556,9101700,18192584,36374463,90899808,181770847,363536231,,,,
2010-04-30,210470,406000,803027,1200786,1996302,3984362,9942128,19872441,39733190,99293268,198555112,397104256,193632,373520,738785,1104723,1836598,3665613,9146758,18282646,36554535,91349807,182670703,365335916,,,,
2010-05-03,210989,407000,805005,1203743,2001219,3994176,9966616,19921388,39831055,99537833,199044164,398082345,194110,374440,740605,1107444,1841121,3674642,9169287,18327677,36644571,91574806,183120631,366235757,,,,
2010-05-04,211507,408000,806983,1206701,2006136,4003990,9991104,19970335,39928920,99782398,199533216,399060434,194586,375360,742424,1110165,1845645,3683671,9191816,18372708,36734606,91799806,183570559,367135599,,,,
2010-05-05,209952,405000,801050,1197828,1991385,3974549,9917640,19823494,39635325,99048704,198066060,396126166,193156,372600,736966,1102002,1832074,3656585,9124229,18237614,36464499,91124808,182220775,364436073,,,,
